as_of_session,broker_execution_enabled,entry_price,entry_session,exit_price,exit_reason,exit_session,final_decision,hit_10pct,hit_15pct,hit_5pct,mae_pct,market_data_source,market_regime_state,mfe_pct,observed_at_utc,production_applied,r_multiple,reference_close,return_1d_pct,return_3d_pct,return_5d_pct,return_7d_pct,sessions_held,shadow_status,signal_id,status,stop_price,strategy,strategy_score,target_price,theme,theme_state,ticker,vote_count
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,42.02,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|HRMY,PENDING_ENTRY,40.97,RESIDUAL_SECTOR_STRENGTH,76.0535,45.3816,UNCLASSIFIED,NONE,HRMY,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,98.74,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|HUT,PENDING_ENTRY,96.29,RESIDUAL_SECTOR_STRENGTH,89.5879,106.6392,Crypto & Digital Infrastructure,LEADING,HUT,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,222.27,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|NVDA,PENDING_ENTRY,217.8246,RESIDUAL_SECTOR_STRENGTH,83.5235,240.0516,Semiconductors,STRONG,NVDA,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,177.72,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|QCOM,PENDING_ENTRY,171.0022,RESIDUAL_SECTOR_STRENGTH,95.958,191.9376,Semiconductors,STRONG,QCOM,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,23.75,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|RIOT,PENDING_ENTRY,22.8,RESIDUAL_SECTOR_STRENGTH,84.0939,25.65,Crypto & Digital Infrastructure,LEADING,RIOT,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,88.76,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|SWKS,PENDING_ENTRY,87.19,RESIDUAL_SECTOR_STRENGTH,77.1779,95.8608,UNCLASSIFIED,NONE,SWKS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,47.56,,,,,0,SHADOW_ONLY,2026-09-18|RESIDUAL_SECTOR_STRENGTH|VRNS,PENDING_ENTRY,45.64,RESIDUAL_SECTOR_STRENGTH,90.2183,51.3648,Cybersecurity,LEADING,VRNS,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,119.79,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|AGCO,PENDING_ENTRY,115.81,TREND_PULLBACK,67.137,129.3732,UNCLASSIFIED,NONE,AGCO,
2026-09-18,False,,,,,,WATCHLIST,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,146.19,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|CDW,PENDING_ENTRY,141.7385,TREND_PULLBACK,66.8641,157.8852,UNCLASSIFIED,NONE,CDW,
2026-09-18,False,,,,,,NO TRADE,False,False,False,,POSTGRESQL_DERIVED_SHADOW,NEUTRAL,,2026-09-20T17:26:45.749816+00:00,False,,13.9,,,,,0,SHADOW_ONLY,2026-09-18|TREND_PULLBACK|CRGY,PENDING_ENTRY,13.507,TREND_PULLBACK,65.3029,15.012,UNCLASSIFIED,NONE,CRGY,
