ticker,price,avg_share_volume20,avg_dollar_volume20,median_dollar_volume20,adr20_pct,tradable,rejection_reason,name,exchange
HMR,1.43,76415.0,102946.0,67974.0,8.19,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Heidmar Maritime Holdings Corp. - Common Stock,NASDAQ
PAVM,4.18,20315.0,101310.0,54156.0,8.1,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,PAVmed Inc. - Common Stock,NASDAQ
VTSI,2.98,32870.0,101303.0,63514.0,4.34,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"VirTra, Inc. - Common Stock",NASDAQ
GROV,1.01,97100.0,101182.0,34729.0,6.6,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Grove Collaborative Holdings, Inc. Class A Common Stock",NYSE
SUMA,9.94,10210.0,101088.0,0.0,0.04,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,SUMA Acquisition Corporation - Class A Ordinary Shares,NASDAQ
BOF,3.89,25245.0,100931.0,61308.0,4.8,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,BranchOut Food Inc. - Common Stock,NASDAQ
XELB,0.89,114595.0,100647.0,37908.0,13.51,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Xcel Brands, Inc - Common Stock",NASDAQ
GVH,1.01,98430.0,100524.0,89477.0,4.4,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Globavend Holdings Limited - Ord Shares,NASDAQ
ROC,4.25,23935.0,100510.0,66894.0,5.53,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Rank One Computing Corporation - Common stock,NASDAQ
YCBD,0.48,202440.0,100491.0,39300.0,6.52,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"cbdMD, Inc. Common Stock",NYSE American
FDSB,18.52,5455.0,100118.0,69158.0,0.97,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,"Fifth District Bancorp, Inc. - Common Stock",NASDAQ
JL,4.74,20940.0,100078.0,47463.0,7.38,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,J-Long Group Limited - Class A Ordinary Shares,NASDAQ
FSI,5.65,18120.0,100018.0,89699.0,4.05,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Flexible Solutions International Inc. Common Stock (CDA),NYSE American
IHT,1.34,74830.0,99772.0,40970.0,7.58,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,InnSuites Hospitality Trust Shares of Beneficial Interest,NYSE American
NEXM,2.31,40845.0,99608.0,61441.0,6.48,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,NexMetals Mining Corp. - Common Stock,NASDAQ
DYAI,0.48,162675.0,99403.0,75694.0,9.9,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Dyadic International, Inc. - Common Stock",NASDAQ
GSHR,10.55,9420.0,99187.0,1574.0,0.05,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Gesher Acquisition Corp. II - Class A Ordinary Shares,NASDAQ
BMGL,4.58,17365.0,98956.0,13822.0,7.47,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Basel Medical Group Ltd - ordinary shares,NASDAQ
KEQU,34.45,2720.0,98362.0,60984.0,2.32,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Kewaunee Scientific Corporation - Common Stock,NASDAQ
XLO,8.93,10755.0,98300.0,69043.0,3.86,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Xilio Therapeutics, Inc. - Common Stock",NASDAQ
TACT,5.16,19315.0,97448.0,78332.0,4.9,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,TransAct Technologies Incorporated - Common Stock,NASDAQ
NHIV,10.05,9645.0,97440.0,0.0,0.03,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,NewHold Investment Corp IV - Class A Ordinary Shares,NASDAQ
AACI,10.05,9695.0,97423.0,1005.0,0.07,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,Armada Acquisition Corp. III - Class A Ordinary Share,NASDAQ
PBHC,17.21,5980.0,96377.0,77285.0,1.96,False,SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME|LOW_DAILY_RANGE,"Pathfinder Bancorp, Inc. - Common Stock",NASDAQ
FMST,0.82,87230.0,96126.0,76562.0,7.89,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,Foremost Clean Energy Ltd. - Common Shares,NASDAQ
ABVC,0.98,106085.0,95535.0,93656.0,9.97,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"ABVC BioPharma, Inc. - Common Stock",NASDAQ
SNOA,1.31,71235.0,94188.0,85534.0,4.0,False,PRICE|SHARE_VOLUME|AVG_DOLLAR_VOLUME|MEDIAN_DOLLAR_VOLUME,"Sonoma Pharmaceuticals, Inc. - Common Stock",NASDAQ
