ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et
FTNT,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,174.62,2.83,0.14,1.43,88.2,0.0,0.68,172.68,172.85,True,True,174.62,172.16,1.43,183.35,188.58,67.3,65.0,35.0,22.04,1.0,1.12,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
QLYS,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,179.32,2.53,0.11,1.13,88.2,0.0,0.53,178.99,180.11,True,False,179.32,178.45,0.49,188.29,193.67,57.5,51.8,48.2,0.76,1.36,0.19,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
VRNS,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,48.64,2.38,0.66,0.98,88.2,0.0,1.06,47.86,47.83,True,True,48.64,47.72,1.94,51.07,52.53,61.4,55.1,44.9,8.86,0.39,1.63,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
LEU,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,155.15,6.77,0.16,5.37,88.0,0.0,0.98,152.8,153.4,True,True,155.15,152.34,1.84,162.91,167.56,58.2,63.7,36.3,13.65,1.56,1.54,BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
SMR,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,8.81,6.59,-0.62,5.19,88.0,0.0,0.81,8.78,8.94,True,False,8.81,8.75,0.72,9.26,9.52,56.6,60.4,39.6,7.86,1.73,0.42,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
OKLO,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,40.2,5.76,-0.35,4.36,88.0,0.0,0.86,40.18,40.53,True,False,40.2,40.06,0.35,42.21,43.42,47.6,55.7,44.3,1.94,0.84,0.05,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
NET,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,345.46,6.69,-0.33,5.29,83.8,0.0,1.4,341.53,338.99,True,True,345.46,340.5,1.46,362.74,373.1,56.5,65.7,34.3,22.24,0.42,1.15,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
DDOG,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,241.55,5.09,0.01,3.69,83.8,0.0,1.1,238.4,237.04,True,True,241.55,237.68,1.63,253.63,260.87,73.3,74.1,25.9,34.15,1.52,1.32,STRONG BUYING PRESSURE,BAR_PROXY,2026-09-21T13:35:00-04:00
MDB,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,396.7,3.47,-0.07,2.07,83.8,0.0,1.05,395.98,401.99,True,False,396.7,394.79,0.48,416.54,428.44,55.3,54.5,45.5,2.4,1.48,0.18,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
ESTC,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,88.86,2.18,0.2,0.78,83.8,0.0,0.47,88.84,89.33,True,False,88.86,88.57,0.32,93.3,95.97,48.9,48.2,51.8,-0.68,1.3,0.02,BALANCED,BAR_PROXY,2026-09-21T13:30:00-04:00
USAR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,16.88,9.68,-0.53,8.28,0.0,93.5,1.69,16.66,16.9,True,False,16.88,16.61,1.61,17.72,18.23,53.3,43.9,56.1,-0.31,1.24,1.31,BALANCED,BAR_PROXY,2026-09-21T13:35:00-04:00
