ticker,candidate_source,theme,signal,reason,price,day_change_pct,move_30m_pct,rel_vs_spy_pct,theme_rotation_score,broad_breakout_score,intraday_rvol,vwap,opening_range_high,above_vwap,above_or_high,entry,stop,risk_pct,target_5pct,target_8pct,order_flow_score,buy_pressure_pct,sell_pressure_pct,volume_imbalance_proxy,volume_impulse,vwap_pressure,order_flow_state,order_flow_mode,last_bar_et,order_flow_strategy_score,order_flow_strategy_signal,order_flow_setup,order_flow_strategy_reason,strategy_entry,strategy_stop,strategy_target_1,strategy_target_2,strategy_risk_pct,strategy_rr_to_t2
MDB,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,399.17,4.12,0.14,2.56,90.4,0.0,1.07,396.48,401.99,True,False,399.17,395.29,0.98,419.13,431.1,61.5,51.4,48.6,2.27,2.53,0.68,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,58.2,NO TRADE,NONE,Order-flow conditions incomplete,399.17,395.29,419.13,431.1,0.98,8.23
IREN,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,48.48,3.83,1.3,2.27,87.5,0.0,1.0,47.4,47.91,True,True,48.48,47.25,2.59,50.9,52.36,67.2,50.7,49.3,3.81,1.51,2.29,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,56.1,NO TRADE,NONE,Order-flow conditions incomplete,48.48,47.25,50.9,52.36,2.6,3.15
MRVL,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,258.79,6.01,0.28,4.45,100.0,0.0,1.11,252.11,252.5,True,True,258.79,251.35,2.96,271.73,279.49,59.3,48.8,51.2,2.1,0.69,2.65,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,55.5,NO TRADE,NONE,Order-flow conditions incomplete,258.79,251.35,271.73,279.49,2.96,2.78
MPWR,THEME_ROTATION,Semiconductors,MOMENTUM BUY,ROTATION + VWAP + ORB + RVOL,1265.19,3.99,0.22,2.43,100.0,0.0,1.29,1247.25,1243.25,True,True,1265.19,1243.51,1.74,1328.45,1366.41,59.4,53.3,46.7,9.75,0.99,1.44,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:30:00-04:00,54.9,NO TRADE,NONE,Order-flow conditions incomplete,1265.19,1243.51,1328.45,1366.41,1.74,4.67
KLAC,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,184.35,4.17,0.15,2.61,100.0,0.0,0.91,181.92,182.66,True,True,184.35,181.38,1.64,193.57,199.1,56.1,61.2,38.8,13.25,0.98,1.33,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,53.6,NO TRADE,NONE,Order-flow conditions incomplete,184.35,181.38,193.57,199.1,1.64,4.97
USAR,BROAD_BREAKOUT,UNCLASSIFIED / BROAD BREAKOUT,EXTENDED / WAIT RETEST,STRONG ROTATION BUT MOVE ALREADY >8%,16.93,10.04,-0.15,8.48,0.0,94.7,1.69,16.69,16.9,True,True,16.93,16.64,1.8,17.78,18.29,50.5,44.6,55.4,1.17,0.57,1.5,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,53.2,NO TRADE,NONE,Order-flow conditions incomplete,16.93,16.64,17.78,18.28,1.74,4.67
NVDA,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,227.36,2.37,0.07,0.81,100.0,0.0,1.05,224.86,224.93,True,True,227.36,224.19,1.42,238.73,245.55,58.2,68.6,31.4,18.21,0.84,1.11,BUYING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,53.0,NO TRADE,NONE,Order-flow conditions incomplete,227.36,224.19,238.73,245.55,1.41,5.74
MU,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,1043.47,2.77,0.3,1.21,100.0,0.0,1.16,1043.68,1064.49,False,False,1043.47,1039.62,0.37,1095.64,1126.94,56.9,51.2,48.8,5.01,1.24,-0.02,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,52.0,NO TRADE,NONE,Order-flow conditions incomplete,1043.47,1039.62,1095.64,1126.95,0.37,21.68
S,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,23.54,4.48,0.11,2.92,95.5,0.0,0.66,23.44,23.42,True,True,23.54,23.37,0.71,24.72,25.42,53.8,62.8,37.2,13.24,0.85,0.41,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,51.5,NO TRADE,NONE,Order-flow conditions incomplete,23.54,23.37,24.72,25.42,0.73,11.08
LRCX,THEME_ROTATION,Semiconductors,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,301.84,4.88,-0.03,3.32,100.0,0.0,1.1,296.71,295.17,True,True,301.84,295.82,2.03,316.93,325.99,51.7,48.9,51.1,12.06,0.74,1.73,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,51.1,NO TRADE,NONE,Order-flow conditions incomplete,301.84,295.82,316.93,325.99,2.04,4.01
OKLO,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,40.13,5.58,-0.32,4.02,90.2,0.0,0.81,40.18,40.53,False,False,40.13,39.99,0.34,42.14,43.34,50.2,54.7,45.3,1.82,0.92,-0.13,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,50.7,NO TRADE,NONE,Order-flow conditions incomplete,40.13,39.99,42.14,43.34,0.35,22.93
FTNT,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,174.48,2.75,0.07,1.19,95.5,0.0,0.68,172.82,172.85,True,True,174.48,172.3,1.26,183.2,188.44,56.6,65.0,35.0,21.28,0.84,0.96,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,50.4,NO TRADE,NONE,Order-flow conditions incomplete,174.48,172.3,183.2,188.44,1.27,6.4
QLYS,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,179.78,2.8,-0.17,1.24,95.5,0.0,0.54,179.12,180.11,True,False,179.78,178.58,0.67,188.77,194.16,57.9,55.1,44.9,5.8,0.9,0.37,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,49.0,NO TRADE,NONE,Order-flow conditions incomplete,179.78,178.58,188.77,194.16,0.67,11.99
NXE,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,9.74,4.22,0.0,2.66,90.2,0.0,1.27,9.7,9.83,True,False,9.74,9.67,0.79,10.23,10.52,48.7,52.2,47.8,0.72,0.68,0.49,BALANCED,BAR_PROXY,2026-09-21T14:30:00-04:00,48.8,NO TRADE,NONE,Order-flow conditions incomplete,9.74,9.67,10.23,10.52,0.72,11.13
ZS,THEME_ROTATION,Cybersecurity,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,204.49,3.65,-0.25,2.09,95.5,0.0,0.8,203.52,204.59,True,False,204.49,202.91,0.78,214.71,220.85,50.4,54.9,45.1,13.78,0.71,0.48,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,47.9,NO TRADE,NONE,Order-flow conditions incomplete,204.49,202.91,214.71,220.85,0.78,10.35
ESTC,THEME_ROTATION,Cloud Computing,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,89.26,2.65,0.15,1.09,90.4,0.0,0.46,88.88,89.33,True,False,89.26,88.61,0.74,93.73,96.41,52.8,50.5,49.5,1.19,0.97,0.44,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,45.4,NO TRADE,NONE,Order-flow conditions incomplete,89.26,88.61,93.72,96.4,0.73,10.99
UEC,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,10.05,2.66,-0.5,1.1,90.2,0.0,1.0,10.09,10.35,False,False,10.05,10.01,0.35,10.55,10.85,45.8,44.4,55.6,-6.92,0.94,-0.48,BALANCED,BAR_PROXY,2026-09-21T14:30:00-04:00,43.8,NO TRADE,NONE,Order-flow conditions incomplete,10.05,10.01,10.55,10.85,0.4,20.1
CAN,THEME_ROTATION,Crypto & Digital Infrastructure,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,0.41,7.68,1.14,6.12,87.5,0.0,1.91,0.42,0.45,False,False,0.41,0.4,1.52,0.43,0.44,40.1,31.4,68.6,-24.58,0.51,-2.37,SELLING PRESSURE,BAR_PROXY,2026-09-21T14:25:00-04:00,49.1,AVOID / SELLING PRESSURE,DISTRIBUTION,Selling pressure / negative imbalance dominates,0.41,0.4,0.43,0.44,2.5,3.28
UUUU,THEME_ROTATION,Uranium & Nuclear,NO SIGNAL,LIVE MOMENTUM CONDITIONS INCOMPLETE,12.22,4.53,-0.24,2.97,90.2,0.0,1.08,12.18,12.49,True,False,12.22,12.14,0.63,12.83,13.2,44.5,44.0,56.0,-23.4,0.72,0.32,BALANCED,BAR_PROXY,2026-09-21T14:25:00-04:00,45.7,AVOID / SELLING PRESSURE,DISTRIBUTION,Selling pressure / negative imbalance dominates,12.22,12.14,12.83,13.2,0.66,12.22
