trader,legendary_setup,ticker,company_name,price,stage,theme,market_hunt_score,technical_score,formation_score,rs20_vs_spy,rsi14,atr_pct,adr20_pct,entry_trigger,entry_model,stop,effective_target,effective_rr,runway_to_next_resistance_pct,catalyst_status,catalyst_score,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,target_5,target_8,target_10,next_higher_resistance,intraday_rvol,pattern,legendary_score,setup_match,setup_reason,rsi_state,superstock_grade,superstock_action
Superstock Agent,Explosive Leader / Early Supertrend Candidate,MSTR,Strategy Inc - Class A Common Stock,131.15,DISCOVER,UNCLASSIFIED,62.8,74,50,36.29,52.3,7.12,6.26,145.67,RESISTANCE_BREAKOUT,136.93,157.32,1.33,35.24,NOT CHECKED,0,17.56,3,True,126.02,118.34,151.89,92.45,144.92,81.81,144.92,81.81,197.0,152.95,157.32,160.23,197.0,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SBET,"Sharplink, Inc. - Common Stock",8.4,DISCOVER,UNCLASSIFIED,62.8,74,50,31.0,50.4,7.27,6.29,9.54,RESISTANCE_BREAKOUT,8.97,10.3,1.33,,NOT CHECKED,0,12.56,2,True,8.19,7.35,8.22,6.16,9.49,4.46,9.49,4.46,9.06,10.02,10.3,10.49,,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,CAI,"Caris Life Sciences, Inc. - Common Stock",28.05,DISCOVER,Biotechnology,61.7,72,48,31.71,50.2,4.8,5.61,28.43,RESISTANCE_BREAKOUT,26.72,30.7,1.33,,NOT CHECKED,0,21.58,2,True,24.59,22.17,21.9,20.78,28.32,15.11,28.32,14.19,28.32,29.85,30.7,31.27,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,IOVA,"Iovance Biotherapeutics, Inc. - Common Stock",9.19,DISCOVER,Biotechnology,61.7,72,48,31.53,61.1,4.73,6.46,9.44,RESISTANCE_BREAKOUT,8.88,10.2,1.33,,NOT CHECKED,0,43.09,3,True,8.18,6.89,4.62,6.93,9.41,3.76,9.36,3.18,9.36,9.92,10.2,10.39,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,ANF,Abercrombie & Fitch Company Common Stock,137.62,DISCOVER,UNCLASSIFIED,59.4,70,46,32.89,66.0,6.64,4.89,155.95,RESISTANCE_BREAKOUT,146.59,168.43,1.33,,NOT CHECKED,0,35.67,1,True,134.95,119.17,99.64,100.43,155.22,83.98,155.22,69.68,154.58,163.75,168.43,171.55,,,"20/50 uptrend, rising EMA50, tight range, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,ASST,"Strive, Inc. - Class A Common Stock",27.65,DISCOVER,UNCLASSIFIED,59.0,68,50,111.5,73.8,7.94,8.67,29.78,RESISTANCE_BREAKOUT,27.99,32.16,1.33,,NOT CHECKED,0,15.08,4,True,23.51,19.01,25.4,12.7,29.6,10.53,29.04,7.66,24.48,31.26,32.16,32.75,,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,STRONG / EXTENDED WATCH,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SMMT,Summit Therapeutics Inc.  - Common Stock,17.18,DISCOVER,UNCLASSIFIED,59.0,68,50,36.49,70.2,6.22,5.56,18.92,RESISTANCE_BREAKOUT,17.78,20.43,1.33,54.53,NOT CHECKED,0,17.33,1,True,15.83,15.1,16.29,12.22,18.83,12.07,18.32,12.07,29.23,19.86,20.43,20.81,29.23,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,HOOD,"Robinhood Markets, Inc. - Class A Common Stock",110.54,DISCOVER,UNCLASSIFIED,57.4,68,50,16.88,48.5,5.61,5.68,125.75,RESISTANCE_BREAKOUT,118.2,135.81,1.33,,NOT CHECKED,0,16.57,2,True,109.4,103.61,99.26,91.44,125.25,83.68,125.25,63.51,120.05,132.03,135.81,138.32,,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,MRNA,"Moderna, Inc. - Common Stock",144.37,DISCOVER,UNCLASSIFIED,52.2,60,42,126.0,39.5,7.22,9.83,177.49,RESISTANCE_BREAKOUT,166.84,191.69,1.33,,NOT CHECKED,0,176.97,2,True,131.91,105.1,65.61,62.13,176.66,52.66,176.66,43.68,176.66,186.37,191.69,195.24,,,"20/50 uptrend, rising EMA50, tight range, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,TEM,"Tempus AI, Inc. - Class A Common Stock",66.54,DISCOVER,UNCLASSIFIED,52.2,60,42,30.88,46.0,6.28,7.4,73.29,RESISTANCE_BREAKOUT,68.9,79.16,1.33,,NOT CHECKED,0,24.09,2,True,61.68,57.93,59.02,49.35,72.96,40.77,72.96,40.77,72.96,76.96,79.16,80.62,,,"20/50 uptrend, rising EMA50, tight range, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,BE,Bloom Energy Corporation Class A Common Stock,261.76,DISCOVER,UNCLASSIFIED,51.7,64,40,14.77,65.5,6.5,6.37,285.19,RESISTANCE_BREAKOUT,268.08,308.01,1.33,23.17,NOT CHECKED,0,12.29,1,True,241.01,235.28,201.43,185.93,283.83,157.33,351.28,116.5,351.28,299.45,308.01,313.71,351.28,,"20/50 uptrend, rising EMA50, bull flag/pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,MARA,"MARA Holdings, Inc. - Common Stock",11.27,DISCOVER,UNCLASSIFIED,51.5,64,46,17.92,46.0,7.22,7.73,12.54,RESISTANCE_BREAKOUT,11.78,13.54,1.33,31.07,NOT CHECKED,0,15.54,2,True,11.22,11.37,12.02,8.68,12.47,8.68,16.43,7.63,16.43,13.16,13.54,13.79,16.43,,"rising EMA50, near EMA50 support, bull flag/pullback, volume contraction, low-volume pullback",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,CVI,CVR Energy Inc. Common Stock,51.79,DISCOVER,UNCLASSIFIED,49.2,60,42,44.23,92.1,5.01,5.43,52.61,RESISTANCE_BREAKOUT,49.45,56.82,1.33,,NOT CHECKED,0,10.27,1,True,43.72,38.8,33.24,35.7,52.4,25.97,52.4,24.16,43.47,55.24,56.82,57.87,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,RBLX,Roblox Corporation Class A Common Stock,50.7,DISCOVER,UNCLASSIFIED,47.4,58,40,35.69,82.7,4.39,4.7,51.48,RESISTANCE_BREAKOUT,48.39,55.6,1.33,13.5,NOT CHECKED,0,12.73,1,True,43.54,43.97,61.96,37.2,51.3,33.88,58.43,33.88,69.91,54.05,55.6,56.63,58.43,,"above EMA50, rising EMA50, compressed below 20d resistance, volume contraction",100.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,TWLO,Twilio Inc. Class A Common Stock,244.58,DISCOVER,UNCLASSIFIED,48.0,62,42,9.01,61.9,4.19,4.07,244.8,RESISTANCE_BREAKOUT,230.11,258.35,0.92,5.54,NOT CHECKED,0,24.89,1,True,230.2,220.03,177.35,215.79,243.98,179.2,258.35,112.99,258.35,257.04,264.38,269.28,258.35,,"20/50 uptrend, rising EMA50, tight range, volume contraction",96.7,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,DK,"Delek US Holdings, Inc. Common Stock",77.5,DISCOVER,UNCLASSIFIED,59.3,70,52,17.34,71.8,5.64,5.79,79.5,RESISTANCE_BREAKOUT,74.73,85.86,1.33,,NOT CHECKED,0,11.6,1,True,72.08,65.98,50.04,63.13,79.15,40.74,78.43,36.68,75.24,83.47,85.86,87.45,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",96.6,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,HTFL,"Heartflow, Inc. - Common Stock",49.06,DISCOVER,UNCLASSIFIED,50.0,58,40,19.0,47.2,5.03,5.32,51.98,RESISTANCE_BREAKOUT,48.86,56.13,1.33,,NOT CHECKED,0,35.7,1,True,46.16,39.85,32.87,40.67,51.78,23.87,51.78,20.41,51.19,54.57,56.13,57.17,,,"20/50 uptrend, rising EMA50, volume contraction",96.1,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,DOCS,"Doximity, Inc. Class A Common Stock",26.38,DISCOVER,UNCLASSIFIED,48.3,62,42,9.61,59.9,3.89,3.59,27.4,RESISTANCE_BREAKOUT,25.76,29.59,1.33,45.97,NOT CHECKED,0,32.62,1,True,25.42,24.32,31.13,23.95,27.32,19.75,40.0,17.15,40.0,28.77,29.59,30.14,40.0,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",96.1,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,ARE,"Alexandria Real Estate Equities, Inc. Common Stock",53.06,FORMING,UNCLASSIFIED,83.4,90,66,15.06,50.8,3.02,3.58,54.84,RESISTANCE_BREAKOUT,51.55,55.74,0.27,1.64,WEAK,22,10.27,1,True,51.41,50.79,52.94,45.78,54.71,45.78,55.74,38.9,55.74,57.58,59.23,60.32,55.74,1.08,"20/50 uptrend, rising EMA50, near EMA200 pivot, compressed below 20d resistance, volume contraction",96.0,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SIG,Signet Jewelers Limited Common Shares,100.97,DISCOVER,UNCLASSIFIED,51.8,60,42,19.28,70.7,4.54,3.97,103.86,RESISTANCE_BREAKOUT,97.63,112.17,1.33,,NOT CHECKED,0,23.96,1,True,91.04,89.28,89.03,79.01,103.49,79.01,103.49,71.34,100.41,109.05,112.17,114.24,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",93.7,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,CRK,"Comstock Resources, Inc. Common Stock",14.61,DISCOVER,UNCLASSIFIED,55.2,70,50,9.85,53.8,4.95,4.26,16.18,RESISTANCE_BREAKOUT,15.21,17.47,1.33,44.89,NOT CHECKED,0,11.02,1,True,14.6,14.32,16.21,13.44,16.12,12.12,16.12,12.12,23.44,16.99,17.47,17.8,23.44,,"20/50 uptrend, rising EMA50, near EMA50 support, volume contraction, low-volume pullback",93.1,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,AVAH,Aveanna Healthcare Holdings Inc. - Common Stock,14.09,DISCOVER,UNCLASSIFIED,50.9,64,40,13.02,58.1,3.73,4.06,14.74,RESISTANCE_BREAKOUT,13.85,15.92,1.33,,NOT CHECKED,0,24.75,1,True,13.25,11.65,9.24,12.23,14.69,7.76,14.54,5.93,14.0,15.47,15.92,16.21,,,"20/50 uptrend, rising EMA50, volume contraction",92.9,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,ROIV,Roivant Sciences Ltd. - Common Shares,39.63,DISCOVER,UNCLASSIFIED,58.5,74,50,11.39,60.8,4.49,3.59,42.64,RESISTANCE_BREAKOUT,40.08,46.05,1.33,,NOT CHECKED,0,18.75,1,True,37.87,35.97,29.65,33.43,42.5,30.7,42.5,25.95,37.97,44.77,46.05,46.91,,,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",89.7,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,FA,First Advantage Corporation - Common Stock,21.92,DISCOVER,UNCLASSIFIED,51.1,66,42,10.01,62.9,3.65,3.4,22.42,RESISTANCE_BREAKOUT,21.07,24.21,1.33,12.18,NOT CHECKED,0,17.32,1,True,21.07,20.34,16.95,19.9,22.35,15.82,25.15,10.28,25.15,23.54,24.21,24.66,25.15,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",89.7,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,SNAP,Snap Inc. Class A Common Stock,5.9,DISCOVER,UNCLASSIFIED,50.1,60,42,15.93,49.6,5.33,5.4,6.07,RESISTANCE_BREAKOUT,5.7,6.36,0.8,4.78,NOT CHECKED,0,14.88,1,True,5.5,5.31,5.74,5.03,6.04,4.27,6.04,3.81,6.36,6.37,6.55,6.67,6.36,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",89.6,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,VEEV,Veeva Systems Inc. Class A Common Stock,270.52,DISCOVER,UNCLASSIFIED,53.8,66,42,15.53,62.1,4.52,3.24,297.22,RESISTANCE_BREAKOUT,279.39,321.0,1.33,,NOT CHECKED,0,15.2,1,True,260.56,236.19,214.72,238.93,296.24,151.15,296.24,148.05,296.24,312.08,321.0,326.94,,,"20/50 uptrend, rising EMA50, tight range, volume contraction",87.9,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,TWST,Twist Bioscience Corporation - Common Stock,136.38,DISCOVER,UNCLASSIFIED,48.0,60,42,11.65,34.8,6.31,6.78,156.13,RESISTANCE_BREAKOUT,146.76,168.62,1.33,,NOT CHECKED,0,22.64,2,True,130.16,117.08,77.56,115.28,155.44,80.59,155.44,41.52,155.44,163.94,168.62,171.74,,,"20/50 uptrend, rising EMA50, tight range, volume contraction",87.8,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,EL,"Estee Lauder Companies, Inc. (The) Common Stock",97.54,DISCOVER,UNCLASSIFIED,53.4,60,42,18.08,33.8,3.16,3.26,108.26,RESISTANCE_BREAKOUT,103.08,116.92,1.67,,NOT CHECKED,0,16.3,1,True,97.78,92.84,89.46,83.57,108.01,76.57,108.01,65.74,108.01,113.67,116.92,119.09,,,"above EMA50, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",85.4,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,HNGE,"Hinge Health, Inc. Class A Common Stock",94.75,DISCOVER,UNCLASSIFIED,56.9,72,52,9.86,57.6,4.78,4.98,95.93,RESISTANCE_BREAKOUT,90.18,103.61,1.33,,NOT CHECKED,0,11.55,1,True,90.21,84.8,66.15,84.23,95.57,67.86,95.57,34.64,95.57,100.73,103.61,105.53,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range",84.4,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,MOMENTUM SWEET SPOT,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,PSNL,"Personalis, Inc. - Common Stock",16.13,DISCOVER,UNCLASSIFIED,59.7,70,52,18.15,33.1,3.66,4.39,18.94,RESISTANCE_BREAKOUT,17.95,20.45,1.53,,NOT CHECKED,0,13.66,1,True,16.18,14.78,10.93,13.68,18.89,9.65,18.89,4.95,18.89,19.88,20.45,20.83,,,"above EMA50, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",84.1,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,WEAK MOMENTUM,B WATCH,MONITOR ONLY
Superstock Agent,Explosive Leader / Early Supertrend Candidate,IT,"Gartner, Inc. Common Stock",201.21,DISCOVER,UNCLASSIFIED,53.2,66,42,14.32,53.2,4.3,4.28,203.72,RESISTANCE_BREAKOUT,191.5,220.02,1.33,,NOT CHECKED,0,22.61,1,True,185.7,175.24,179.01,166.01,203.03,124.25,203.03,124.25,203.03,213.91,220.02,224.09,,,"20/50 uptrend, rising EMA50, compressed below 20d resistance",83.8,STRONG,Explosive 30-day behavior + liquid leadership + high relative strength + constructive structure + catalyst/theme support + asymmetric runway,NEUTRAL / RESET,B WATCH,MONITOR ONLY
